,id,sales
0,0,33
1,1,44
2,2,41
3,3,37
4,4,30
5,5,30
6,6,26
7,7,42
8,8,37
9,9,41
10,10,37
11,11,52
12,12,45
13,13,41
14,14,33
15,15,33
16,16,30
17,17,49
18,18,45
19,19,45
20,20,37
21,21,52
22,22,45
23,23,41
24,24,34
25,25,34
26,26,30
27,27,49
28,28,41
29,29,45
30,30,45
31,31,62
32,32,54
33,33,50
34,34,36
35,35,36
36,36,34
37,37,56
38,38,50
39,39,52
40,40,46
41,41,62
42,42,56
43,43,54
44,44,36
45,45,36
46,46,34
47,47,62
48,48,54
49,49,56
50,50,33
51,51,42
52,52,39
53,53,39
54,54,27
55,55,27
56,56,23
57,57,42
58,58,39
59,59,39
60,60,35
61,61,49
62,62,47
63,63,44
64,64,29
65,65,29
66,66,27
67,67,48
68,68,44
69,69,44
70,70,33
71,71,44
72,72,41
73,73,37
74,74,30
75,75,30
76,76,26
77,77,42
78,78,37
79,79,41
80,80,37
81,81,52
82,82,45
83,83,41
84,84,33
85,85,33
86,86,30
87,87,49
88,88,45
89,89,45
90,90,37
91,91,52
92,92,45
93,93,41
94,94,34
95,95,34
96,96,30
97,97,49
98,98,41
99,99,45
100,100,45
101,101,62
102,102,54
103,103,50
104,104,36
105,105,36
106,106,34
107,107,56
108,108,50
109,109,52
110,110,46
111,111,62
112,112,56
113,113,50
114,114,36
115,115,36
116,116,34
117,117,62
118,118,54
119,119,56
120,120,33
121,121,42
122,122,39
123,123,39
124,124,27
125,125,27
126,126,23
127,127,42
128,128,39
129,129,39
130,130,35
131,131,49
132,132,44
133,133,44
134,134,29
135,135,29
136,136,27
137,137,48
138,138,44
139,139,44
140,140,33
141,141,44
142,142,41
143,143,37
144,144,30
145,145,30
146,146,26
147,147,42
148,148,37
149,149,41
150,150,37
151,151,52
152,152,45
153,153,45
154,154,33
155,155,33
156,156,30
157,157,49
158,158,45
159,159,45
160,160,37
161,161,52
162,162,45
163,163,41
164,164,34
165,165,34
166,166,30
167,167,49
168,168,41
169,169,45
170,170,44
171,171,62
172,172,54
173,173,50
174,174,36
175,175,36
176,176,34
177,177,56
178,178,50
179,179,52
180,180,46
181,181,62
182,182,56
183,183,54
184,184,36
185,185,36
186,186,34
187,187,62
188,188,54
189,189,56
190,190,33
191,191,42
192,192,39
193,193,39
194,194,27
195,195,27
196,196,23
197,197,42
198,198,39
199,199,39
200,200,35
201,201,49
202,202,44
203,203,44
204,204,29
205,205,29
206,206,27
207,207,48
208,208,44
209,209,44
210,210,33
211,211,44
212,212,41
213,213,37
214,214,30
215,215,30
216,216,26
217,217,42
218,218,37
219,219,41
220,220,37
221,221,52
222,222,45
223,223,45
224,224,33
225,225,33
226,226,30
227,227,49
228,228,45
229,229,45
230,230,37
231,231,52
232,232,45
233,233,41
234,234,33
235,235,33
236,236,30
237,237,49
238,238,41
239,239,45
240,240,45
241,241,62
242,242,52
243,243,50
244,244,36
245,245,36
246,246,34
247,247,56
248,248,50
249,249,52
250,250,46
251,251,62
252,252,56
253,253,50
